CUSIP,Ddate,RR,Year,IndX,csp_CIQ,CompanyName,FirmDefault,IndZ,IndY,Type,Seniority,IndustryNaics,Industry_SIC_short_old,UniqueIdent,DefType,EquityValue,DefaultBarrier2,LTDIssuance2,Intangibility,Receivables1,NetIncomeMargin,TotalAssets,NumberEmployees,AvgDailyVOL,AvgTransVol,TRADES,amihud_ILLIQ,amihud_ILLIQ_trades,price_dispersion,price_dispersion_volumeweighted,OfferingAmount,DaysToMaturity,BondAge,BOND_COUPON
087509AL9,01.01.04,0.189009524,2004,1510,CSP_087509AL9,Bethlehem Steel Corp.,37987Bethlehem Steel Corp.,15104020,Materials,Corporate Debentures,Senior Unsecured,0, STEEL,087509AL937987,LiquidationC7,1.28712,0.258205069,0.467834468,0.058009127,0.029416454,-0.776256858,3878.7,11500,63937,26.44,0.45,0.001920123,161.5117457,0.000542362,0.000542351,105000,0,3782,10.375
45071TAD7,05.01.04,20.55347222,2004,5010,CSP_45071TAD7,"T-Mobile US, Inc.","37991T-Mobile US, Inc.",50102010,Communication Services,Corporate Debentures,Senior Unsecured,Wireless Telecommunications Carriers (except Satellite) (517312), TELCM,45071TAD737991,C11Reorg,-135.215,1.269705514,0,0.200428895,0.032214499,-0.564198802,276.991,187,354208427.1,399680.3021,0.7,0.014884903,0.060919375,0.048132327,0.026121611,160000,2567,997,14
749361AC5,15.01.04,54.31595819,2004,5020,CSP_749361AC5,RCN Corporation,38001RCN Corporation,50201030,Communication Services,Corporate Debentures,Senior Unsecured,Wired Telecommunications Carriers (517311), TELCM,749361AC538001,C11Reorg,-366.575,1.081883486,0,0.005146611,0.032214499,-0.671750671,1529.356,2442,98292238.24,140855.1065,5.8,0.081868646,0.17571677,0.015970483,0.012221654,225000,1369,2227,10
749361AD3,15.01.04,54.7988705,2004,5020,CSP_749361AD3,RCN Corporation,38001RCN Corporation,50201030,Communication Services,Corporate Debentures,Senior Unsecured,Wired Telecommunications Carriers (517311), TELCM,749361AD338001,C11Reorg,-366.575,1.081883486,0,0.005146611,0.029416454,-0.671750671,1529.356,2442,142748011.7,178392.3807,6.6,0.035388245,0.488192899,0.012482623,0.009249888,601045,1369,2227,11.125
749361AG6,15.01.04,56.66628788,2004,5020,CSP_749361AG6,RCN Corporation,38001RCN Corporation,50201030,Communication Services,Corporate Debentures,Senior Unsecured,Wired Telecommunications Carriers (517311), TELCM,749361AG638001,C11Reorg,-366.575,1.081883486,0,0.005146611,0.029416454,-0.671750671,1529.356,2442,245053718.2,412642.7833,1.65,0.001248388,0.006716032,0.010744462,0.008799859,567000,1492,2080,9.8
749361AH4,15.01.04,55.43656723,2004,5020,CSP_749361AH4,RCN Corporation,38001RCN Corporation,50201030,Communication Services,Corporate Debentures,Senior Unsecured,Wired Telecommunications Carriers (517311), TELCM,749361AH438001,C11Reorg,-366.575,1.081883486,0,0.005146611,0.029416454,-0.671750671,1529.356,2442,317834183.3,351101.2782,2.9,0.075576497,0.039149829,0.023154927,0.016962013,256755,1629,2036,11
749361AJ0,15.01.04,55.27363505,2004,5020,CSP_749361AJ0,RCN Corporation,38001RCN Corporation,50201030,Communication Services,Corporate Debentures,Senior Unsecured,Wired Telecommunications Carriers (517311), TELCM,749361AJ038001,C11Reorg,-366.575,1.081883486,0,0.005146611,0.032214499,-0.671750671,1529.356,2442,199951038.2,156006.0644,5,0.168958952,0.13409244,0.010858393,0.007899651,375000,2192,1490,10.125
967446AA3,20.01.04,31.87471429,2004,2550,CSP_967446AA3,Wickes Inc.,38006Wickes Inc.,25504030,Consumer Discretionary,Corporate Debentures,Senior Subordinate,Logging (113310), RTAIL,967446AA338006,C11Reorg,2.40932,0.355132855,0.70559338,0.072672096,0.029416454,-0.068003967,173.987,1889,4883158,7288.394667,0.9,1.007792755,8.818276652,0.092372406,0.073717826,100000,0,3749,11.625
686701AA1,30.01.04,39.41820791,2004,1510,CSP_686701AA1,Ormet Corporation,38016Ormet Corporation,15104010,Materials,Corporate Debentures,Senior Secured,Alumina and Aluminum Production and Processing (33131), STEEL,686701AA138016,C11Reorg,0,#DIV/0!,#DIV/0!,#DIV/0!,0.032214499,#DIV/0!,0,0,315738794.6,746209.1741,2.15,0.003742437,0.008606733,0.016936726,0.014501477,150000,1659,1999,11
90338RAC8,30.01.04,91.04291667,2004,5010,CSP_90338RAC8,"T-Mobile US, Inc.","38016T-Mobile US, Inc.",50102010,Communication Services,Corporate Debentures,Senior Subordinate,Wireless Telecommunications Carriers (except Satellite) (517312), TELCM,90338RAC838016,RiskRating1,207.41877,0.80882929,0.545075333,0.231811205,0.029416454,-0.299396548,717.351,939,334507407.5,697875.058,2.75,0.001069625,0.028290894,0.007878971,0.007478832,400000,2102,1396,13.375
