RR_CompanyName,Transcript_Mapping
"1-800-FLOWERS.COM, Inc.",1-800-Flowers.com Inc.
3M Company,3M Company
3M Company,3M Co.
A.M. Castle & Co.,A. M. Castle  Co.
A.M. Castle & Co.,A.M. Castle  Co.
A.M. Castle & Co.,AM Castle  Co.
A.M. Castle & Co.,AM Castle Co.
A.M. Castle & Co.,A. M. Castle Co.
A.M. Castle & Co.,A.M. Castle & Co.
"A123 Systems, LLC","A123 Systems, Inc."
Accuride Corporation,Accuride Corp.
Affinity Gaming,Affinity Gaming
Affinity Gaming,"Affinity Gaming, LLC."
"Alexander & Baldwin, Inc.","Alexander  Baldwin, Inc."
"Alfa, S. A. B. de C. V.",Alfa S.A.B de C.V
"Alfa, S. A. B. de C. V.","Alfa, S. A. B. de C. V."
Alion Science and Technology Corp.,Alion Science and Technology Corp.
"Allison Transmission Holdings, Inc.","Allison Transmission Holdings, Inc."
Ally Financial Inc.,Ally Financial Inc.
"AMAG Pharmaceuticals, Inc.","AMAG Pharmaceuticals, Inc."
"Ambac Financial Group, Inc.","Ambac Financial Group, Inc."
Ambassadors International Inc.,Ambassadors International Inc.
Ameren Corporation,Ameren Corporation
"American Apparel, Inc.","American Apparel, Inc."
"American Axle & Manufacturing Holdings, Inc.",American Axle  Manufacturing Holdings Inc.
"American Axle & Manufacturing Holdings, Inc.","American Axle  Manufacturing Holdings, Inc."
"American Axle & Manufacturing Holdings, Inc.",American Axle Manufacturing Holdings Inc.
"American Axle & Manufacturing Holdings, Inc.","American Axle & Manufacturing Holdings, Inc."
"American Axle & Manufacturing Holdings, Inc.","Metaldyne Performance Group Inc., American Axle & Manufacturing Holdings Inc."
"Appvion, Inc.",Appleton Papers Inc.
"Appvion, Inc.","Appvion, Inc."
"Atlas Energy Group, LLC","Atlas Resource Partners, L.P."
"Atlas Energy Group, LLC","Atlas Energy Group, LLC, Atlas Resource Partners, L.P."
ATP Oil & Gas Corp.,ATP Oil  Gas Corp.
ATP Oil & Gas Corporation,ATP Oil Gas Corp.
BankUnited Financial Corporation,BankUnited Financial Corporation
"Basic Energy Services, Inc.","Basic Energy Services, Inc."
Battalion Oil Corporation,Halcon Resources Corporation
BB&T Corporation,BB T Corp.
BB&T Corporation,BBT Corporation
BB&T Corporation,BB  T Corp.
BB&T Corporation,BB T Corporation
BB&T Corporation,BB  T Corporation
"BearingPoint, Inc.",Bearingpoint Inc.
"Beazer Homes USA, Inc.",Beazer Homes USA Inc.
"Berry Global, Inc.","Berry Plastics Group, Inc."
Berry Petroleum Company,Berry Petroleum Co.
Bill Barrett Corporation,Bill Barrett Corp.
Bill Barrett Corporation,Bill Barrett Corporation
"Bloomin' Brands, Inc.","Bloomin Brands, Inc."
"BPZ Resources, Inc.","BPZ Resources, Inc."
"Breitburn Energy Partners, L.P.",Breitburn Energy Partners LP
